video,frame,imagem,rede1,rede2,rede3
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 102617.jpg,Duto,Evento,-
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 102947.jpg,Duto,Evento,-
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 103487.jpg,Duto,Nao_Evento,-
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 107832.jpg,Duto,Nao_Evento,-
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 108192.jpg,Duto,Nao_Evento,-
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 108372.jpg,Duto,Nao_Evento,-
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 110529.jpg,Duto,Nao_Evento,-
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 111548.jpg,Duto,Nao_Evento,-
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 112987.jpg,Duto,Nao_Evento,-
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 114096.jpg,Duto,Nao_Evento,-
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 118292.jpg,Duto,Nao_Evento,-
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 121948.jpg,Duto,Nao_Evento,-
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 122637.jpg,Duto,Nao_Evento,-
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 127522.jpg,Duto,Nao_Evento,-
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 128122.jpg,Duto,Nao_Evento,-
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 132527.jpg,Duto,Nao_Evento,-
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 133696.jpg,Duto,Evento,-
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 134865.jpg,Duto,Evento,-
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 135974.jpg,Duto,Nao_Evento,-
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 139510.jpg,Duto,Nao_Evento,-
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 140170.jpg,Duto,Nao_Evento,-
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 143167.jpg,Duto,Nao_Evento,-
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 145744.jpg,Duto,Nao_Evento,-
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 149910.jpg,Duto,Nao_Evento,-
