video,frame,imagem,rede1,rede2,rede3
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 132857.jpg,Duto,Nao_Evento,-
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 133696.jpg,Duto,Nao_Evento,-
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 202627.jpg,Duto,Evento,Enterramento
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 218152.jpg,Duto,Evento,Sucata
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 24575.jpg,Duto,Evento,Flange
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 2547.jpg,Duto,Evento,Flange
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 38901.jpg,Duto,Evento,Flange
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 41269.jpg,Duto,Evento,Flange
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 53826.jpg,Duto,Evento,Flange
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 56943.jpg,Duto,Evento,Flange
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 61379.jpg,Duto,Evento,Flange
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 64256.jpg,Duto,Evento,Flange
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 66174.jpg,Duto,Evento,Flange
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 67463.jpg,Duto,Evento,Flange
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte2.mpg FRAME 32398.jpg,Duto,Evento,Enterramento
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte2.mpg FRAME 70190.jpg,Duto,Evento,Sucata
-,-,F0A-DVD2940-1--PIDF-1 IA P-56 - MLS-161 01 de 02.wmv FRAME 11850.jpg,Duto,Evento,Flange
