video,frame,imagem,rede1,rede2,rede3
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 101538.jpg,Duto,Evento,Flange
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 102258.jpg,Duto,Evento,Flange
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 120.jpg,Duto,Evento,Flange
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 134895.jpg,Duto,Evento,Sucata
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 159920.jpg,Duto,Evento,Sucata
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 160669.jpg,Duto,Evento,Sucata
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 2038.jpg,Duto,Evento,Flange
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 215724.jpg,Duto,Evento,Sucata
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 221748.jpg,Duto,Evento,Sucata
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 23287.jpg,Duto,Evento,Flange
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 25534.jpg,Duto,Evento,Flange
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 41269.jpg,Duto,Evento,Flange
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 4915.jpg,Duto,Evento,Flange
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 63896.jpg,Duto,Evento,Flange
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 7702.jpg,Duto,Evento,Flange
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte2.mpg FRAME 12827.jpg,Duto,Evento,Reparo
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte2.mpg FRAME 161149.jpg,Duto,Evento,Flange
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte2.mpg FRAME 213596.jpg,Duto,Evento,Enterramento
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte2.mpg FRAME 216593.jpg,Duto,Evento,Enterramento
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte2.mpg FRAME 37552.jpg,Duto,Nao_Evento,-
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte2.mpg FRAME 67253.jpg,Duto,Evento,Sucata
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte2.mpg FRAME 67313.jpg,Duto,Evento,Sucata
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte2.mpg FRAME 67972.jpg,Duto,Evento,Sucata
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte2.mpg FRAME 83766.jpg,Duto,Evento,Enterramento
-,-,F0A-DVD2940-1--PIDF-1 IA P-56 - MLS-161 01 de 02.wmv FRAME 10575.jpg,Confuso,-,-
-,-,F0A-DVD2940-1--PIDF-1 IA P-56 - MLS-161 01 de 02.wmv FRAME 14375.jpg,Confuso,-,-
-,-,F0A-DVD2940-1--PIDF-1 IA P-56 - MLS-161 01 de 02.wmv FRAME 16100.jpg,Duto,Evento,Flange
-,-,F0A-DVD2940-1--PIDF-1 IA P-56 - MLS-161 01 de 02.wmv FRAME 16975.jpg,Duto,Evento,Flange
-,-,F0A-DVD2940-1--PIDF-1 IA P-56 - MLS-161 01 de 02.wmv FRAME 17300.jpg,Confuso,-,-
-,-,F0A-DVD2940-1--PIDF-1 IA P-56 - MLS-161 01 de 02.wmv FRAME 173425.jpg,Duto,Nao_Evento,-
-,-,F0A-DVD2940-1--PIDF-1 IA P-56 - MLS-161 01 de 02.wmv FRAME 20025.jpg,Confuso,-,-
-,-,F0A-DVD2940-1--PIDF-1 IA P-56 - MLS-161 01 de 02.wmv FRAME 23750.jpg,Confuso,-,-
-,-,F0A-DVD2940-1--PIDF-1 IA P-56 - MLS-161 01 de 02.wmv FRAME 24625.jpg,Confuso,-,-
-,-,F0A-DVD2940-1--PIDF-1 IA P-56 - MLS-161 01 de 02.wmv FRAME 25625.jpg,Duto,Evento,Anodo
-,-,F0A-DVD2940-1--PIDF-1 IA P-56 - MLS-161 01 de 02.wmv FRAME 28550.jpg,Confuso,-,-
-,-,F0A-DVD2940-1--PIDF-1 IA P-56 - MLS-161 01 de 02.wmv FRAME 29850.jpg,Confuso,-,-
-,-,F0A-DVD2940-1--PIDF-1 IA P-56 - MLS-161 01 de 02.wmv FRAME 33475.jpg,Duto,Evento,Enterramento
-,-,F0A-DVD2940-2--PIDF-1 IA P-56 - MLS-161 02 de 02.wmv FRAME 13875.jpg,Duto,Evento,Flange
-,-,F0A-DVD2940-2--PIDF-1 IA P-56 - MLS-161 02 de 02.wmv FRAME 16450.jpg,Duto,Evento,Flange
-,-,F0A-DVD2940-2--PIDF-1 IA P-56 - MLS-161 02 de 02.wmv FRAME 16825.jpg,Duto,Evento,Flange
-,-,F0A-DVD2940-2--PIDF-1 IA P-56 - MLS-161 02 de 02.wmv FRAME 16875.jpg,Duto,Evento,Flange
-,-,F0A-DVD2940-2--PIDF-1 IA P-56 - MLS-161 02 de 02.wmv FRAME 28900.jpg,Duto,Evento,Anodo
-,-,F0A-DVD2940-2--PIDF-1 IA P-56 - MLS-161 02 de 02.wmv FRAME 28975.jpg,Duto,Evento,Anodo
-,-,F0A-DVD2940-2--PIDF-1 IA P-56 - MLS-161 02 de 02.wmv FRAME 33475.jpg,Duto,Evento,Flange
-,-,F0A-DVD2940-2--PIDF-1 IA P-56 - MLS-161 02 de 02.wmv FRAME 338875.jpg,Duto,Evento,Anodo
-,-,F0A-DVD2940-2--PIDF-1 IA P-56 - MLS-161 02 de 02.wmv FRAME 33900.jpg,Duto,Evento,Flange
-,-,F0A-DVD2940-2--PIDF-1 IA P-56 - MLS-161 02 de 02.wmv FRAME 339025.jpg,Duto,Evento,Anodo
-,-,F0A-DVD2940-2--PIDF-1 IA P-56 - MLS-161 02 de 02.wmv FRAME 339150.jpg,Duto,Evento,Anodo
-,-,F0A-DVD2940-2--PIDF-1 IA P-56 - MLS-161 02 de 02.wmv FRAME 340125.jpg,Duto,Evento,Anodo
-,-,F0A-DVD2940-2--PIDF-1 IA P-56 - MLS-161 02 de 02.wmv FRAME 346100.jpg,Duto,Evento,Anodo
-,-,F0A-DVD2940-2--PIDF-1 IA P-56 - MLS-161 02 de 02.wmv FRAME 347275.jpg,Duto,Evento,Anodo
-,-,F0A-DVD2940-2--PIDF-1 IA P-56 - MLS-161 02 de 02.wmv FRAME 352400.jpg,Duto,Evento,Flange
-,-,F0A-DVD3645--OS-1252-2012.wmv FRAME 104940.jpg,Duto,Evento,Dano
-,-,F0A-DVD3645--OS-1252-2012.wmv FRAME 125400.jpg,Duto,Evento,Dano
-,-,F0A-DVD3645--OS-1252-2012.wmv FRAME 126420.jpg,Duto,Evento,Dano
-,-,F0A-DVD3645--OS-1252-2012.wmv FRAME 137610.jpg,Duto,Evento,Dano
-,-,F0A-DVD3645--OS-1252-2012.wmv FRAME 150780.jpg,Duto,Evento,Dano
