video,frame,imagem,rede1,rede2,rede3
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 102498.jpg,Duto,Evento,Flange
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 132527.jpg,Duto,Nao_Evento,-
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 158092.jpg,Duto,Evento,Sucata
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 16603.jpg,Duto,Evento,Flange
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 29011.jpg,Duto,Evento,Flange
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 43936.jpg,Duto,Evento,Flange
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 59820.jpg,Duto,Evento,Flange
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 62158.jpg,Duto,Evento,Flange
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 65245.jpg,Duto,Evento,Flange
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte1.mpg FRAME 66174.jpg,Duto,Evento,Flange
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte2.mpg FRAME 160999.jpg,Duto,Evento,Flange
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte2.mpg FRAME 213836.jpg,Duto,Evento,Flange
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte2.mpg FRAME 74086.jpg,Duto,Nao_Evento,-
-,-,CIMRL10-676_OK--PIDF-1 PO MRL-021_parte2.mpg FRAME 83347.jpg,Duto,Evento,Flange
-,-,F0A-DVD2940-1--PIDF-1 IA P-56 - MLS-161 01 de 02.wmv FRAME 147750.jpg,Duto,Nao_Evento,-
-,-,F0A-DVD2940-1--PIDF-1 IA P-56 - MLS-161 01 de 02.wmv FRAME 14825.jpg,Confuso,-,-
-,-,F0A-DVD2940-1--PIDF-1 IA P-56 - MLS-161 01 de 02.wmv FRAME 172550.jpg,Duto,Evento,Reparo
-,-,F0A-DVD2940-1--PIDF-1 IA P-56 - MLS-161 01 de 02.wmv FRAME 173500.jpg,Duto,Nao_Evento,-
-,-,F0A-DVD2940-1--PIDF-1 IA P-56 - MLS-161 01 de 02.wmv FRAME 22400.jpg,Confuso,-,-
-,-,F0A-DVD2940-1--PIDF-1 IA P-56 - MLS-161 01 de 02.wmv FRAME 225875.jpg,Duto,Nao_Evento,-
-,-,F0A-DVD2940-1--PIDF-1 IA P-56 - MLS-161 01 de 02.wmv FRAME 25050.jpg,Confuso,-,-
-,-,F0A-DVD2940-1--PIDF-1 IA P-56 - MLS-161 01 de 02.wmv FRAME 26300.jpg,Confuso,-,-
-,-,F0A-DVD2940-1--PIDF-1 IA P-56 - MLS-161 01 de 02.wmv FRAME 272000.jpg,Duto,Nao_Evento,-
-,-,F0A-DVD2940-1--PIDF-1 IA P-56 - MLS-161 01 de 02.wmv FRAME 27475.jpg,Confuso,-,-
-,-,F0A-DVD2940-1--PIDF-1 IA P-56 - MLS-161 01 de 02.wmv FRAME 28825.jpg,Confuso,-,-
-,-,F0A-DVD2940-1--PIDF-1 IA P-56 - MLS-161 01 de 02.wmv FRAME 33000.jpg,Duto,Evento,Enterramento
-,-,F0A-DVD2940-1--PIDF-1 IA P-56 - MLS-161 01 de 02.wmv FRAME 33800.jpg,Duto,Evento,Enterramento
-,-,F0A-DVD2940-1--PIDF-1 IA P-56 - MLS-161 01 de 02.wmv FRAME 6375.jpg,Confuso,-,-
-,-,F0A-DVD2940-1--PIDF-1 IA P-56 - MLS-161 01 de 02.wmv FRAME 99275.jpg,Duto,Nao_Evento,-
-,-,F0A-DVD2940-2--PIDF-1 IA P-56 - MLS-161 02 de 02.wmv FRAME 12350.jpg,Duto,Evento,Anodo
-,-,F0A-DVD2940-2--PIDF-1 IA P-56 - MLS-161 02 de 02.wmv FRAME 16100.jpg,Confuso,-,-
-,-,F0A-DVD2940-2--PIDF-1 IA P-56 - MLS-161 02 de 02.wmv FRAME 179375.jpg,Duto,Evento,Cruzamento
-,-,F0A-DVD2940-2--PIDF-1 IA P-56 - MLS-161 02 de 02.wmv FRAME 179975.jpg,Duto,Evento,Cruzamento
-,-,F0A-DVD2940-2--PIDF-1 IA P-56 - MLS-161 02 de 02.wmv FRAME 18825.jpg,Duto,Evento,Flange
-,-,F0A-DVD2940-2--PIDF-1 IA P-56 - MLS-161 02 de 02.wmv FRAME 21975.jpg,Duto,Evento,Anodo
-,-,F0A-DVD2940-2--PIDF-1 IA P-56 - MLS-161 02 de 02.wmv FRAME 22175.jpg,Duto,Evento,Anodo
-,-,F0A-DVD2940-2--PIDF-1 IA P-56 - MLS-161 02 de 02.wmv FRAME 24400.jpg,Duto,Evento,Anodo
-,-,F0A-DVD2940-2--PIDF-1 IA P-56 - MLS-161 02 de 02.wmv FRAME 25450.jpg,Duto,Evento,Anodo
-,-,F0A-DVD2940-2--PIDF-1 IA P-56 - MLS-161 02 de 02.wmv FRAME 291025.jpg,Duto,Nao_Evento,-
-,-,F0A-DVD2940-2--PIDF-1 IA P-56 - MLS-161 02 de 02.wmv FRAME 29700.jpg,Duto,Evento,Anodo
-,-,F0A-DVD2940-2--PIDF-1 IA P-56 - MLS-161 02 de 02.wmv FRAME 337100.jpg,Duto,Evento,Flange
-,-,F0A-DVD2940-2--PIDF-1 IA P-56 - MLS-161 02 de 02.wmv FRAME 339175.jpg,Duto,Evento,Anodo
-,-,F0A-DVD2940-2--PIDF-1 IA P-56 - MLS-161 02 de 02.wmv FRAME 341600.jpg,Duto,Evento,Anodo
-,-,F0A-DVD2940-2--PIDF-1 IA P-56 - MLS-161 02 de 02.wmv FRAME 344925.jpg,Duto,Evento,Flange
-,-,F0A-DVD2940-2--PIDF-1 IA P-56 - MLS-161 02 de 02.wmv FRAME 345300.jpg,Duto,Evento,Anodo
-,-,F0A-DVD2940-2--PIDF-1 IA P-56 - MLS-161 02 de 02.wmv FRAME 347675.jpg,Duto,Evento,Flange
-,-,F0A-DVD2940-2--PIDF-1 IA P-56 - MLS-161 02 de 02.wmv FRAME 352775.jpg,Duto,Evento,Flange
-,-,F0A-DVD2940-2--PIDF-1 IA P-56 - MLS-161 02 de 02.wmv FRAME 353025.jpg,Duto,Evento,Flange
-,-,F0A-DVD2940-2--PIDF-1 IA P-56 - MLS-161 02 de 02.wmv FRAME 353525.jpg,Duto,Evento,Anodo
-,-,F0A-DVD2940-2--PIDF-1 IA P-56 - MLS-161 02 de 02.wmv FRAME 37925.jpg,Duto,Evento,Anodo
-,-,F0A-DVD3645--OS-1252-2012.wmv FRAME 107970.jpg,Duto,Evento,Dano
-,-,F0A-DVD3645--OS-1252-2012.wmv FRAME 112950.jpg,Duto,Evento,Dano
-,-,F0A-DVD3645--OS-1252-2012.wmv FRAME 113580.jpg,Duto,Evento,Dano
-,-,F0A-DVD3645--OS-1252-2012.wmv FRAME 115590.jpg,Duto,Evento,Dano
-,-,F0A-DVD3645--OS-1252-2012.wmv FRAME 118950.jpg,Duto,Evento,Dano
-,-,F0A-DVD3645--OS-1252-2012.wmv FRAME 119550.jpg,Duto,Evento,Dano
-,-,F0A-DVD3645--OS-1252-2012.wmv FRAME 121500.jpg,Duto,Evento,Dano
-,-,F0A-DVD3645--OS-1252-2012.wmv FRAME 128430.jpg,Duto,Evento,Dano
-,-,F0A-DVD3645--OS-1252-2012.wmv FRAME 130260.jpg,Duto,Evento,Dano
-,-,F0A-DVD3645--OS-1252-2012.wmv FRAME 133530.jpg,Duto,Evento,Dano
-,-,F0A-DVD3645--OS-1252-2012.wmv FRAME 136890.jpg,Duto,Evento,Dano
-,-,F0A-DVD3645--OS-1252-2012.wmv FRAME 143880.jpg,Duto,Evento,Dano
-,-,F0A-DVD3645--OS-1252-2012.wmv FRAME 151950.jpg,Duto,Evento,Dano
-,-,F0A-DVD3645--OS-1252-2012.wmv FRAME 31380.jpg,Duto,Evento,Enterramento
-,-,F0A-DVD3645--OS-1252-2012.wmv FRAME 33870.jpg,Duto,Evento,Enterramento
-,-,F0A-DVD3645--OS-1252-2012.wmv FRAME 37350.jpg,Duto,Evento,Enterramento
-,-,F0A-DVD3645--OS-1252-2012.wmv FRAME 60690.jpg,Duto,Evento,Enterramento
-,-,F0A-DVD3645--OS-1252-2012.wmv FRAME 62850.jpg,Duto,Evento,Enterramento
-,-,F0A-DVD3645--OS-1252-2012.wmv FRAME 63450.jpg,Duto,Evento,Enterramento
-,-,F0A-DVD3645--OS-1252-2012.wmv FRAME 66330.jpg,Duto,Evento,Enterramento
-,-,F0A-DVD3645--OS-1252-2012.wmv FRAME 68460.jpg,Duto,Evento,Enterramento
-,-,F0A-DVD3645--OS-1252-2012.wmv FRAME 70230.jpg,Duto,Evento,Enterramento
-,-,F0A-DVD3645--OS-1252-2012.wmv FRAME 71130.jpg,Duto,Evento,Enterramento
-,-,F0A-DVD3645--OS-1252-2012.wmv FRAME 72600.jpg,Duto,Evento,Enterramento
-,-,F0A-DVD3645--OS-1252-2012.wmv FRAME 80700.jpg,Duto,Evento,Enterramento
-,-,F0A-DVD3645--OS-1252-2012.wmv FRAME 92520.jpg,Duto,Evento,Enterramento
-,-,F0A-DVD3867-1--VTS_01_1.VOB FRAME 110769.jpg,Duto,Evento,Dano
-,-,F0A-DVD3867-1--VTS_01_1.VOB FRAME 12498.jpg,Confuso,-,-
-,-,F0A-DVD3867-1--VTS_01_1.VOB FRAME 12947.jpg,Confuso,-,-
-,-,F0A-DVD3867-1--VTS_01_1.VOB FRAME 21369.jpg,Confuso,-,-
-,-,F0A-DVD3867-1--VTS_01_1.VOB FRAME 21998.jpg,Confuso,-,-
-,-,F0A-DVD3867-1--VTS_01_1.VOB FRAME 22867.jpg,Confuso,-,-
-,-,F0A-DVD3867-1--VTS_01_1.VOB FRAME 24126.jpg,Confuso,-,-
-,-,F0A-DVD3867-1--VTS_01_1.VOB FRAME 26314.jpg,Confuso,-,-
-,-,F0A-DVD3867-1--VTS_01_1.VOB FRAME 27333.jpg,Duto,Evento,Dano
-,-,F0A-DVD3867-1--VTS_01_1.VOB FRAME 34226.jpg,Duto,Evento,Enterramento
-,-,F0A-DVD3867-1--VTS_01_1.VOB FRAME 36144.jpg,Duto,Evento,Enterramento
